"","store_number","category_name","Date","forecast_volume","fc_sales"
"232",2670,"American Vodkas",2022-12-11,608.480294213312,3290.51086944952
"233",2670,"American Vodkas",2022-12-18,509.161737402443,2925.7837382115
"234",2670,"American Vodkas",2022-12-25,523.780383636167,3211.65268569224
"235",2603,"American Vodkas",2022-08-28,366.32803907715,3487.65417273049
"236",2603,"American Vodkas",2022-09-04,442.215921166904,3587.61346720979
"237",2603,"American Vodkas",2022-09-11,463.783544435711,3590.96045341031
"238",2603,"American Vodkas",2022-09-18,525.546794017204,3583.23004252032
"239",2603,"American Vodkas",2022-09-25,541.517308381544,3583.75410839989
"240",2603,"American Vodkas",2022-10-02,560.277586449107,3584.27378743926
"241",2603,"American Vodkas",2022-10-09,462.618200103985,3584.18313120404
"242",2603,"American Vodkas",2022-10-16,442.833831563087,3584.15372873395
"243",2603,"American Vodkas",2022-10-23,453.639751730003,3584.16337187722
"244",2603,"American Vodkas",2022-10-30,454.566730175694,3584.16458478765
"245",2603,"American Vodkas",2022-11-06,487.03746087334,3584.16375017923
"246",2603,"American Vodkas",2022-11-13,551.352108272022,3584.16374375053
"247",2603,"American Vodkas",2022-11-20,477.988385570163,3584.16380614745
"248",2603,"American Vodkas",2022-11-27,435.991847797269,3584.16380039411
"249",2603,"American Vodkas",2022-12-04,508.790555065564,3584.16379635153
"250",2603,"American Vodkas",2022-12-11,497.47258966198,3584.1637971808
"251",2603,"American Vodkas",2022-12-18,455.228857636903,3584.16379739714
"252",2603,"American Vodkas",2022-12-25,555.271902842374,3584.16379731418
"253",3773,"American Vodkas",2022-08-28,981.364273187668,2799.98362022115
"254",3773,"American Vodkas",2022-09-04,705.547306147385,2338.2732473729
"255",3773,"American Vodkas",2022-09-11,870.04712017043,2403.80646040226
"256",3773,"American Vodkas",2022-09-18,734.029545429608,2426.0156688415
"257",3773,"American Vodkas",2022-09-25,740.557227077667,2298.5016052162
"258",3773,"American Vodkas",2022-10-02,1030.17177889017,2330.46580479706
"259",3773,"American Vodkas",2022-10-09,696.362339554688,2380.62388542032
"260",3773,"American Vodkas",2022-10-16,753.19192478601,2369.87572528676
"261",3773,"American Vodkas",2022-10-23,828.340792799139,2402.2550146687
"262",3773,"American Vodkas",2022-10-30,852.137855214306,2483.73447690564
"263",3773,"American Vodkas",2022-11-06,936.763648715312,2309.47216208721
"264",3773,"American Vodkas",2022-11-13,825.411550032995,2449.29877933489
"265",3773,"American Vodkas",2022-11-20,741.880564750433,2246.48437926372
"266",3773,"American Vodkas",2022-11-27,768.881256175095,2393.54498354006
"267",3773,"American Vodkas",2022-12-04,856.78038185595,2520.5236194036
"268",3773,"American Vodkas",2022-12-11,920.594415169281,2392.85189781716
"269",3773,"American Vodkas",2022-12-18,771.647837937008,2402.19560732102
"270",3773,"American Vodkas",2022-12-25,841.693266156748,2274.49494369341
